Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1999,,,,,,,,,,,,100
2000,101.6,106.7,106.2,106.3,103.6,101.9,105.8,101.5,105.1,103.1,104.3,104.7
2001,104.9,106.9,108.7,108.5,108.4,109.2,110.6,109.7,113.3,116.1,111.5,110.6
2002,115,113.8,112.6,114.1,110.5,112.7,111.8,113.3,115.2,113.5,116,114.9
2003,116.4,116.5,113,119.2,120.7,118.1,118.8,120,115.8,120.1,116.9,119.3
2004,121.3,125.7,125.2,123.1,122.2,122.2,124.5,121,121.3,122.9,125.2,128.1
2005,127.4,130.8,130.2,128.2,128.7,132.5,132.2,131.3,132.8,136.7,138.5,136.2
2006,136,133.5,139.2,135.4,134.9,134.1,135.9,137.1,137.3,137.4,135.4,135.7
2007,136.2,138.3,139.5,140.3,142.4,140.7,141.2,141.4,140.3,143.2,143.5,141.8
2008,147.6,145.6,145,149,150,149.5,151.7,153.5,151.6,151.9,156.2,154.4
2009,154.1,153.1,159.4,154.6,156.3,156.7,152,151.2,149.9,146.5,145.8,145.1
2010,144.5,151.1,148.8,146.5,144.3,146.9,145.9,145.2,151.3,151.2,152.5,152.3
2011,154.5,156.1,155.8,153.8,154.6,156.6,155.4,160.7,159.5,158.2,157.8,156.3
2012,161.7,164.2,164,163.6,165.6,163.6,162.4,162.1,164,163.4,165,164.9
2013,166.2,169.1,169.5,167,164.9,166,171.1,170,171.8,173,168.4,167.2
2014,168.3,171.7,170.9,174.8,177.7,179.2,177.2,176.1,175.7,181.3,179.4,179.8
2015,182.4,183.6,180.9,181.4,186,186.6,186,185.9,187.4,189.5,188.1,193.8
2016,193,191.5,191.9,193.6,195,193.9,193.8,191.7,192.5,191.7,191.9,192.4
2017,193.2,193.8,195.4,195.9,193.9,194.2,193.1,193.1,196.9,194.9,193,190.3
2018,195,199.8,199.9,197.2,202.4,201.5,199.2,202,199.5,207.4,201.5,198.3
2019,198.2,204.5,206.2,205.5,204.3,204.7,202.7,203.4,205.2,205.7,206.5,205
2020,209.4,213.1,217.3,219.2,218,207.4,210.6,216.9,,,,
